Loop Number,Length (px)
0,81.9996615863679
128,380.99999862335795
18,291.00030316504063
8,202.0006843657589
296,200.00077013188636
183,198.999709114302
382,185.99989288338008
1,182.99976607157973
565,174.9997363574215
349,173.9999848275867
4,167.00026735372307
94,161.0005982396646
415,160.00012217889622
51,159.00045674977997
459,157.99965315648518
198,157.00027277886187
568,156.9997344303037
146,155.0002631691704
284,152.00061070701344
63,151.00034333500395
563,151.00016162189928
333,150.00045855968762
154,148.9998485323488
28,146.00002449327286
440,144.9996889908333
9,144.99966483200166
134,144.00023443304755
303,137.99979453777897
217,136.99993966631507
125,133.99990362586618
294,132.99952773522529
204,133.00055119887054
164,133.00030724810247
70,132.99981730470859
318,132.00016282176813
277,132.0004151766891
30,131.00038506193462
25,130.00020676408323
403,129.99952408647735
323,128.99988139644952
301,125.99987179966439
105,124.99991380610903
26,124.00004037508889
52,121.00032775255924
137,120.99952046228108
71,118.99952451635579
153,115.99940042353076
223,116.00030734320593
405,109.99963954456791
282,109.99977915335673
376,109.00024842758371
89,107.9996268542105
279,107.00043180040986
177,106.99984553790341
110,105.9999319079508
384,105.00034352960684
506,103.0001411263707
569,103.00005731175851
446,103.00016969645162
359,102.00009916977265
202,101.99964113751378
186,102.00036200732016
255,100.99982259905381
99,101.00009132557376
502,99.99964064672723
180,99.99994223910002
328,100.00024436704199
225,98.999748179873
46,99.00036173418185
308,97.9990504139525
29,98.00015393103142
82,98.00023987755492
538,97.00010968245236
265,97.00001923586137
131,96.99979360758509
490,96.00012489429815
242,96.0003347144621
132,95.99984298944312
435,96.0000426712354
258,96.00042989126266
66,93.9992677522531
234,94.00030767129722
499,93.0001252722044
322,92.99966945211439
5,93.0006954134708
399,93.000793504643
482,92.00027711025405
418,91.00049375375694
206,90.99962035086837
84,90.00067692938356
540,89.00018942533237
514,88.99969923573705
209,89.000054358502
534,89.00010670320314
152,89.0002651955019
383,88.00005873223606
263,86.9998486260747
163,87.0001570670978
433,86.9991655074302
269,86.00044889944927
40,86.00018616723169
549,85.9993699393935
409,85.99976365689936
312,83.00006414717906
143,83.00002487811243
472,82.00036443415445
373,82.00003494327339
21,82.00020178087112
195,81.99988877982402
362,81.0007134938862
43,81.00039853838025
453,80.99982283269048
179,80.99971116139471
83,79.00017376854518
101,79.00020261680945
566,78.99969434379216
57,79.00035117687524
55,77.99983369774542
439,77.99930850371744
330,76.9996174459157
13,77.00046318070656
167,76.99968049808615
504,76.00013352009735
96,75.99952022184277
22,75.99957317569327
233,75.9997155126702
23,74.99995431743048
126,74.99987108619509
486,74.9999798738942
530,73.99969352447158
73,74.00004955834021
539,74.00040866625815
199,73.00016048485953
295,73.00060197509012
280,73.00054700206445
393,72.00032373556664
85,72.00055946157856
45,71.00080657002074
410,70.99984669277647
335,70.99961187489323
346,70.00001631745442
129,69.99974143053207
541,69.99996745356118
297,69.99969167124915
298,70.00099155289931
558,70.00057250037722
231,69.99975251584969
