OID,NCOORDS,LENGTH,MID,NCO.,LEN,MEAN DIST,MIN DIST,MAX DIST
58,92,90.9998,2136,81,9.84649,1.68573,0.300945,3.04633
58,92,90.9998,1060,66,14.3303,2.01116,0.429367,4.04648
58,92,90.9998,94,73,13.6952,2.89738,0.139249,5.96431
58,92,90.9998,1145,54,18.0749,13.1352,10.329,15.3156
58,92,90.9998,2137,52,14.6109,13.3807,11.186,15.5866
58,92,90.9998,1143,21,9.32897,17.2835,16.0074,19.5877
58,92,90.9998,1146,121,63.7382,17.6728,4.55641,45.0168
58,92,90.9998,2138,75,29.8641,31.4131,27.835,36.0299
58,92,90.9998,1106,98,60.0364,31.4884,26.0621,44.5459
58,92,90.9998,1144,89,15.8686,33.1672,29.6544,38.783
58,92,90.9998,1175,111,102.692,36.2525,19.0072,70.5612
58,92,90.9998,2127,76,23.9387,42.5303,33.0964,47.9073
58,92,90.9998,95,88,5.28059,42.551,37.2187,45.6129
58,92,90.9998,1061,51,3.67328,43.9563,42.3297,46.4587
58,92,90.9998,1097,110,46.8238,46.2252,41.2764,56.5618
58,92,90.9998,2149,18,7.05124,51.9818,51.6164,52.5783
58,92,90.9998,1062,70,10.5877,55.0366,50.8117,58.8122
58,92,90.9998,2128,92,7.12666,63.1179,61.3377,65.4344
58,92,90.9998,1086,198,226.732,65.0768,21.5698,109.516
58,92,90.9998,52,123,66.108,69.1097,66.797,77.2209
58,92,90.9998,1098,76,13.0606,71.6735,68.803,76.053
58,92,90.9998,1063,64,21.7948,81.2923,77.1391,89.6071
58,92,90.9998,2089,76,49.4841,83.0992,75.7756,97.451
58,92,90.9998,2125,72,73.2536,83.1605,48.7661,117.493
58,92,90.9998,1179,101,43.0661,84.945,80.4822,88.8704
58,92,90.9998,1141,106,93.5326,85.9843,42.0466,130.39
58,92,90.9998,1126,29,31.9196,86.8905,80.2401,95.8984
58,92,90.9998,2090,99,52.0962,87.1801,84.8016,91.6918
58,92,90.9998,1176,99,25.3212,88.9487,86.4209,94.4181
58,92,90.9998,1173,30,40.2177,90.1853,84.9726,95.009
58,92,90.9998,51,58,62.6702,94.361,77.2154,117.382
58,92,90.9998,96,90,106.646,94.3789,50.4128,138.31
58,92,90.9998,2129,78,90.6588,95.7441,71.7281,126.2
58,92,90.9998,1142,80,102.729,96.9159,65.6041,130.582
58,92,90.9998,1178,125,72.2944,100.391,94.8303,107.938
58,92,90.9998,2135,43,58.3391,101.083,85.0945,115.8
58,92,90.9998,92,99,136.896,101.689,63.4406,142.979
58,92,90.9998,1174,44,59.822,104.889,92.9211,115.574
58,92,90.9998,1240,136,147.273,106.974,65.5398,149.783
58,92,90.9998,2130,51,9.86581,107.408,105.347,110.599
58,92,90.9998,2150,37,14.5285,107.827,106.643,109.993
58,92,90.9998,1064,105,34.1775,109.22,104.853,112.894
58,92,90.9998,53,123,38.6453,109.757,106.935,115.397
58,92,90.9998,1105,57,23.973,110.434,107.752,116.319
58,92,90.9998,1165,51,46.9627,113.788,90.5917,138.359
58,92,90.9998,2134,36,48.3909,117.491,106.46,127.476
58,92,90.9998,1116,55,24.1691,120.784,117.455,129.69
